Lambda11(-),Lambda22(-),Lambda33(-),I1,I41,I42,Energy,Sigma11(KPa),Sigma22(KPa)
1.0612244897959184,1.006122448979592,0.9365735684194101,3.015649849145166,1.1261974177426073,1.0122823823406915,-0.117639124,2.5829644,1.0534787
1.0673469387755101,1.006122448979592,0.9312012534953984,3.0186476445655455,1.1392294877134526,1.0122823823406915,-0.09989089,2.8344173,1.1003003
1.073469387755102,1.006122448979592,0.9258902197302153,3.0218916077800713,1.1523365264473135,1.0122823823406915,-0.080836356,3.065864,1.1362252
1.079591836734694,1.006122448979592,0.9206394245332575,3.025377866289809,1.16551853394419,1.0122823823406915,-0.0590474,3.287941,1.1700149
1.0857142857142856,1.006122448979592,0.9154478488310025,3.029102656474083,1.1787755102040816,1.0122823823406915,-0.035374403,3.5105019,1.2008328
1.0918367346938775,1.006122448979592,0.9103144964076509,3.0330623199375952,1.1921074552269888,1.0122823823406915,-0.010171056,3.7376175,1.2283707
1.0979591836734695,1.006122448979592,0.9052383932678313,3.037253299999728,1.2055143690129115,1.0122823823406915,0.016539216,3.9694881,1.252747
1.1040816326530611,1.006122448979592,0.9002185870205053,3.041672138319736,1.218996251561849,1.0122823823406915,0.044733703,4.2063165,1.2740774
1.110204081632653,1.006122448979592,0.8952541462832596,3.046315471651862,1.2325531028738026,1.0122823823406915,0.07439047,4.4482913,1.2924681
1.116326530612245,1.006122448979592,0.8903441601062033,3.0511800287246835,1.2461849229487716,1.0122823823406915,0.10548848,4.695607,1.3080249
1.1224489795918366,1.006122448979592,0.8854877374147152,3.0562626272392786,1.2598917117867554,1.0122823823406915,0.13800657,4.9484506,1.320847
1.1285714285714286,1.006122448979592,0.8806840064703314,3.061560170981081,1.2736734693877552,1.0122823823406915,0.17192489,5.207005,1.3310299
1.1346938775510205,1.006122448979592,0.8759321143490886,3.0670696470405265,1.2875301957517702,1.0122823823406915,0.20722318,5.471455,1.3386674
1.1408163265306124,1.006122448979592,0.8712312264366605,3.07278812313782,1.3014618908788007,1.0122823823406915,0.24388295,5.741978,1.3438463
1.146938775510204,1.006122448979592,0.8665805259396677,3.0787127450474085,1.3154685547688463,1.0122823823406915,0.28188545,6.018748,1.3466511
1.153061224489796,1.006122448979592,0.8619792134125545,3.0848407341179254,1.3295501874219078,1.0122823823406915,0.32121193,6.30194,1.3471637
1.1591836734693879,1.006122448979592,0.8574265062994599,3.0911693848835737,1.3437067888379846,1.0122823823406915,0.3618453,6.591726,1.3454614
1.1653061224489796,1.006122448979592,0.852921638490531,3.09769606276314,1.3579383590170762,1.0122823823406915,0.40765947,6.986398,1.429575
1.1714285714285715,1.006122448979592,0.8484638598921485,3.1044182018429582,1.372244897959184,1.0122823823406915,0.45562524,7.4181504,1.5343184
1.1775510204081634,1.006122448979592,0.8440524360105602,3.1113333027403596,1.386626405664307,1.0122823823406915,0.5050543,7.871351,1.6449065
1.183673469387755,1.006122448979592,0.8396866475484368,3.1184389305442695,1.4010828821324448,1.0122823823406915,0.56672925,8.215319,1.7856688
1.189795918367347,1.006122448979592,0.835365790013882,3.1257327128298074,1.4156143273635986,1.0122823823406915,0.6325503,8.548033,1.9396977
1.195918367346939,1.006122448979592,0.831089173341456,3.133212337743844,1.4302207413577679,1.0122823823406915,0.70030886,8.896534,2.102336
1.2020408163265306,1.006122448979592,0.8268561215247764,3.140875552158639,1.444902124114952,1.0122823823406915,0.7699817,9.261402,2.2737098
1.2081632653061225,1.006122448979592,0.8226659722602926,3.1487201598908157,1.459658475635152,1.0122823823406915,0.8415435,9.643202,2.4539375
1.2142857142857144,1.006122448979592,0.8185180766018374,3.1567440199830306,1.4744897959183676,1.0122823823406915,0.9149732,10.042488,2.6431265
1.220408163265306,1.006122448979592,0.8144117986255741,3.1649450450458323,1.489396084964598,1.0122823823406915,0.9902467,10.459803,2.8413744
1.226530612244898,1.006122448979592,0.8103465151049805,3.1733211996573223,1.5043773427738443,1.0122823823406915,1.0673428,10.895679,3.0487776
1.23265306122449,1.006122448979592,0.8063216151955186,3.1818704988183075,1.519433569346106,1.0122823823406915,1.1462398,11.350638,3.2654161
1.2387755102040816,1.006122448979592,0.8023365001286545,3.1905910064607728,1.5345647646813827,1.0122823823406915,1.226917,11.8251915,3.4913683
1.2448979591836735,1.006122448979592,0.7983905829149069,3.1994808340075713,1.5497709287796753,1.0122823823406915,1.3093543,12.319847,3.7267103
1.2510204081632654,1.006122448979592,0.794483288055617,3.208538138981339,1.5650520616409833,1.0122823823406915,1.3935311,12.835095,3.9714985
1.2571428571428571,1.006122448979592,0.7906140512631384,3.21776112366071,1.580408163265306,1.0122823823406915,1.4794285,13.371429,4.2257957
1.263265306122449,1.006122448979592,0.7867823191891651,3.2271480337820173,1.5958392336526448,1.0122823823406915,1.5670276,13.929321,4.4896536
1.269387755102041,1.006122448979592,0.7829875491609216,3.236697157284717,1.611345272802999,1.0122823823406915,1.6563098,14.509249,4.7631187
1.2755102040816326,1.006122448979592,0.7792292089249493,3.246406823098862,1.626926280716368,1.0122823823406915,1.7472568,15.111671,5.046232
1.2816326530612245,1.006122448979592,0.7755067763982376,3.256275399973031,1.642582257392753,1.0122823823406915,1.8398519,15.737054,5.339036
1.2877551020408164,1.006122448979592,0.7718197394264552,3.266301295341166,1.6583132028321537,1.0122823823406915,1.9340768,16.385845,5.641556
1.2938775510204081,1.006122448979592,0.768167595549043,3.2764829542268585,1.6741191170345688,1.0122823823406915,2.0299158,17.058493,5.953827
1.3,1.006122448979592,0.7645498517709469,3.286818858183669,1.6900000000000002,1.0122823823406915,2.1273515,17.75544,6.2758684
1.0,1.0122448979591836,0.9879032258064517,3.0005925170031915,1.0,1.024639733444398,-0.20936856,0.49560356,0.5364256
