Lambda11(-),Lambda22(-),Lambda33(-),Energy,Sigma11(KPa),Sigma22(KPa)
1.020495,1.007567,0.9725572682477356,0.26501136097307415,0.8802144233792415,0.6470969355293867
1.022205,1.008199,0.9703216839253944,0.2670066791370262,0.9536205541428373,0.7004744093346105
1.023868,1.008804,0.9681646794017692,0.26909064860729265,1.0248616512294646,0.7519723647131631
1.024748,1.009883,0.9662997320577532,0.27081785700283967,1.0751997112104075,0.8054759238177365
1.026264,1.010973,0.9638320157838388,0.27338490571661955,1.149060252004924,0.8709411147339594
1.027279,1.012151,0.9617590491800108,0.27559109179063046,1.2058917212812332,0.9302236828240655
1.028119,1.012958,0.9602076820118162,0.2773555225537,1.2501143871167386,0.9734425927613
1.028804,1.013572,0.9589870691673936,0.2788038747880026,1.2854336670230975,1.007141889587455
1.029496,1.014985,0.9570083176799632,0.2810953676451027,1.334087022693403,1.0685341499458474
1.030153,1.015736,0.9556908396010764,0.28275815173210517,1.370560916276025,1.1064061149442317
1.030724,1.016782,0.954178797744159,0.2846665280865757,1.4086509701557581,1.1528692102977995
1.032066,1.017226,0.9525221352880464,0.2870978491539171,1.465327318749841,1.192558777436643
1.03216,1.01791,0.9517953846546348,0.2880093620544176,1.4799000587471252,1.2178418145996552
1.032199,1.018442,0.951262255323246,0.28867923617451785,1.4899650340067367,1.2368824487226409
1.03295,1.018898,0.95014522528426,0.290353237047023,1.5250346003717414,1.266220057465853
1.032759,1.019105,0.9501279179446548,0.29030614995894893,1.5213418891709072,1.2698856498818607
1.033823,1.020271,0.9480653354682014,0.2933835492941627,1.5794063570184793,1.3293331802643742
1.034636,1.020656,0.9469630240943124,0.2951726991502442,1.615604440387159,1.3573180961414018
1.035461,1.022181,0.9447968784811934,0.2985161881361826,1.6705606998098226,1.4247355695285435
1.036244,1.023824,0.9425679430069508,0.30208995701340113,1.725767375080741,1.4954127203089733
1.037997,1.02461,0.9402542637462412,0.30630906398934565,1.8030787705546265,1.5541315814019514
1.038586,1.025495,0.9389100521205648,0.3086814031682165,1.8389444408520639,1.5951922178520075
1.039907,1.027211,0.9361508521188828,0.3137761453808664,1.9150463799340915,1.6780097587927383
1.040319,1.02801,0.9350527898988604,0.31582997120705564,1.9429355288608052,1.7128922272285676
1.041265,1.029075,0.9332364684740444,0.319412650847075,1.9947821254151936,1.7665410978138372
1.042322,1.030254,0.9312231978923694,0.3235140201111485,2.052519629962137,1.8260946630362644
1.043458,1.031296,0.929269522361696,0.3276648429752907,2.1110263881735642,1.8823591460502547
1.045235,1.032243,0.9268385940976313,0.33315555863625784,2.191888677926121,1.9469149265738483
1.046183,1.033154,0.925182224035776,0.3369082240394873,2.2413934025192948,1.9952804466586258
1.047322,1.034141,0.923294007621382,0.34132499907719466,2.299205761737764,2.0496983534416318
1.048507,1.035437,0.921096189985922,0.3465606302794135,2.3635483696353026,2.115555145880273
1.049323,1.036872,0.9191061264217096,0.3513347856326635,2.4162526193048244,2.1795331178868995
1.050595,1.03791,0.9170752526598412,0.35653565772846163,2.4798541908779788,2.238120397888294
1.050496,1.038351,0.9167721494727368,0.3572002195518782,2.4829530865171128,2.25147302548445
1.052299,1.040001,0.9137493592440338,0.3652016809883262,2.575892993858081,2.340683588508127
1.053323,1.041999,0.9111106652792124,0.3722120587500037,2.6449727961080596,2.4278087704620495
1.054942,1.04246,0.9093101046402704,0.3775427894294649,2.7128952915513294,2.472931736025875
1.055587,1.043863,0.9075330769331464,0.38249426753960225,2.758620538105067,2.5328205066361758
1.057816,1.044357,0.9051923736535744,0.3898328657549893,2.8502777725924595,2.590193137341453
