Lambda11(-),Lambda22(-),Sigma11(KPa),Sigma22(KPa),Energy_exp,Lambda33(-),I1,I41,I42
1.0101019999999998,1.021574,1.866,0.988,0.0247337274847632,0.9690918423931608,3.0030584868729706,1.0203060504039996,1.0210668445999196
1.010405,1.022089,1.932,1.083,0.0258251734297547,0.9683130814813748,3.003214411713956,1.020918264025,1.0216798254835384
1.010512,1.023543,1.962,1.118,0.0275957793347549,0.966835152630776,3.003544987355576,1.0211345021439997,1.0218982319029066
1.011121,1.025076,2.0640000000000005,1.1829999999999998,0.0305304374244076,0.9648077960665866,3.004000565767864,1.022365676641,1.0231316958484105
1.010965,1.026797,2.067,1.279,0.0322767316232995,0.9633393233408156,3.00438496232874,1.0220502312249995,1.022818824730743
1.011454,1.028338,2.0330000000000004,1.344,0.0352348713066779,0.9614306856651986,3.0048671996986536,1.0230391941159998,1.0238100963377956
1.011992,1.029008,2.073,1.4400000000000002,0.0372332309822084,0.9602938985444148,3.005149643709631,1.024127808064,1.0248997151553023
1.012158,1.029101,2.139,1.5060000000000002,0.0377117772055253,0.9600496369090564,3.0052079904942115,1.0244638169639997,1.0252358635889185
1.0124879999999998,1.03016,2.178,1.541,0.0399823682535953,0.9587501229508828,3.0055633740023326,1.0251319501439995,1.025905586541062
1.012683,1.031219,2.218,1.679,0.0420598739065545,0.9575811189205876,3.0059010837632045,1.025526858489,1.0263020862933256
1.013201,1.032896,2.2210000000000005,1.714,0.0459515451237692,0.9555376300066454,3.0065025755757167,1.026576266401,1.027354017654029
1.0134409999999998,1.034459,2.26,1.811,0.0491472325876998,0.9538679294479652,3.007032109991348,1.0270626604809996,1.027842767334134
1.014095,1.036311,2.29,1.939,0.0539687019230227,0.9515492045398396,3.007775046406401,1.028388669025,1.0291715716412777
1.014602,1.037516,2.357,2.006,0.0574223006799649,0.9499691087141492,3.0082979761711544,1.029417218404,1.0302019427632367
1.015039,1.038567,2.4240000000000004,2.0729999999999995,0.0605166535746385,0.9485991953558628,3.00876601843979,1.030304171521,1.0310904865314334
1.015339,1.039563,2.491,2.108,0.0632467305001163,0.9474103353123068,3.0091908593465777,1.030913284921,1.0317011088283763
1.016033,1.040298,2.558,2.143,0.0664739327757635,0.9460942929125336,3.009637396974667,1.032323057089,1.033111995417098
1.016327,1.042244,2.597,2.1789999999999994,0.0712582810111497,0.9440546441562082,3.0104322976179048,1.032920570929,1.0337124636219857
1.017034,1.043692,2.6000000000000005,2.183,0.076093261125379,0.9420895220046592,3.011183815490968,1.034358157156,1.0351522517463398
1.0171789999999998,1.045536,2.6670000000000007,2.2189999999999994,0.0803540022566764,0.9402939103310664,3.011951283142688,1.0346531180409997,1.0354500211303983
1.0178429999999998,1.04741,2.707,2.286,0.086141192171475,0.9379992472003188,3.0129146684973644,1.0360043726489996,1.0368041350082045
1.01849,1.048999,2.71,2.322,0.0913550179480441,0.9359834218116888,3.013785748007318,1.0373218800999997,1.0381240708995585
1.01886,1.05032,2.713,2.358,0.0952847788822782,0.9344667485011346,3.0144759060542823,1.0380756995999998,1.0388799120626493
1.0194759999999998,1.051567,2.716,2.3939999999999992,0.099744712203988,0.9327946466332632,3.015230322852674,1.0393313145759997,1.0401374377863513
1.0198809999999998,1.052245,2.747,2.358,0.1023610576262041,0.9318234339849524,3.015671706309508,1.0401572541609996,1.0409644172056778
1.019864,1.052906,2.7780000000000005,2.362,0.1037970512080459,0.931253970675931,3.015967581231687,1.0401225784959998,1.0409307559476852
1.020649,1.05368,2.809,2.398,0.1076953254712261,0.9298541824637936,3.01659472424641,1.0417243812009995,1.0425337472854093
1.021914,1.056685,2.8760000000000003,2.403,0.1180524249676862,0.9260620955627228,3.018482417459021,1.044308223396,1.045122212540945
1.022659,1.058053,2.9070000000000005,2.45,0.1232989813642808,0.9241909944342196,3.0194365752833114,1.045831430281,1.0466475283949397
1.023003,1.059045,2.91,2.455,0.1265754883669786,0.9230148293402928,3.0200678252160897,1.0465351380089998,1.047352767140466
1.0234059999999998,1.060957,2.914,2.523,0.1322120000592659,0.9209886087172282,3.021209614071896,1.0473598408359996,1.0481804249280136
1.024187,1.061938,2.917,2.496,0.1367553845718556,0.919436158668684,3.022034176680425,1.048959010969,1.04978111324725
1.025404,1.063989,2.9480000000000004,2.544,0.145100256883514,0.9165746775427812,3.023635094849653,1.051453363216,1.0522786441356562
1.0260859999999998,1.065223,2.9800000000000004,2.581,0.1500411996088982,0.9149043718456994,3.0246025287473737,1.0528524793959997,1.053679675724962
1.0266849999999998,1.066046,2.983,2.554,0.1537641127777685,0.9136646833397422,3.0253193169233112,1.0540820892249998,1.0549105642450305
1.027321,1.068174,3.014,2.526,0.1606862133148335,0.911279984333354,3.026815341163598,1.0553884370409998,1.0562202229021271
1.027833,1.069522,3.0450000000000004,2.574,0.1654116767300207,0.9096780601117228,3.027832157421627,1.056440675889,1.057274562446885
1.028605,1.071682,3.113,2.579,0.1729216655182954,0.9071632172648298,3.029475657907277,1.058028246025,1.0588655042083512
1.02945,1.073181,3.144000000000001,2.52,0.1790542615030116,0.9051525242582972,3.030785853432167,1.0597673024999998,1.0606069045274369
1.030494,1.074066,3.148,2.4919999999999995,0.1843088339026724,0.9034904440221604,3.0318306388313605,1.061917884036,1.0627588713920475
1.031479,1.075332,3.151,2.497,0.1902563846442332,0.9015649920268444,3.033107272513364,1.063948927441,1.0647918985065534
1.031728,1.077126,3.192,2.502,0.1951883915305992,0.8998461727768309,3.0343862205211103,1.064462665984,1.0653084520900895
1.032227,1.079143,3.26,2.5820000000000003,0.2015039203333617,0.8977301008278529,3.035961527910387,1.065492579529,1.0663415361979334
1.0323719999999998,1.080107,3.3010000000000006,2.5449999999999995,0.2042536656116639,0.8968028963976539,3.0366785128202203,1.0657919463839998,1.066642420478826
1.033699,1.081299,3.3040000000000003,2.5500000000000003,0.211305794582628,0.8946642888330839,3.038165339715208,1.0685336226009998,1.069385974888475
1.0340619999999998,1.083009,3.308,2.5979999999999994,0.2165339344318412,0.8929381031966467,3.0395311700654246,1.0692842198439996,1.0701392701361847
1.034798,1.084611,3.348,2.711,0.2228254835845673,0.890985045192014,3.041042272880815,1.0708069008039998,1.0716644825685429
1.035732,1.085811,3.4170000000000003,2.717,0.2288781984166047,0.8891977775022991,3.042398991060028,1.0727407758239995,1.0736002562737084
1.036972,1.086958,3.421,2.689,0.2358228641798462,0.8871972905745782,3.043907654950873,1.075310928784,1.076172226022754
1.037718,1.089428,3.4240000000000004,2.6939999999999995,0.244393350822696,0.8845494502315943,3.046139744613016,1.0768586475239998,1.077723863628677
1.038547,1.091112,3.428,2.7749999999999995,0.2513528126154095,0.8824792699548207,3.047874929652993,1.0785798712089998,1.0794477642230804
1.039373,1.092276,3.4970000000000003,2.846,0.2571022372717633,0.8808382752940672,3.049239160528027,1.0802962331289998,1.081165978870068
1.040395,1.093741,3.5290000000000004,2.96,0.2644458203227711,0.8787943402389733,3.050970623542052,1.082421756025,1.083293836399434
