Lambda11(-),Lambda22(-),Sigma11(KPa),Sigma22(KPa),Energy_exp,Lambda33(-),I1,I41,I42
1.009663,1.019683,1.8059999999999998,0.9809999999999999,0.022065663838657212,0.9713111623272964,3.0026181681196036,1.019419373569,1.0201773538125365
1.00932,1.020361,1.8360000000000003,1.0150000000000001,0.022110295698748617,0.9709956185289693,3.002695923923456,1.0187268624,1.0194858509597642
1.0101019999999998,1.021574,1.866,0.988,0.024733727484763254,0.9690918423931608,3.0030584868729706,1.0203060504039996,1.0210668445999196
1.010405,1.022089,1.9320000000000002,1.083,0.025825173429754752,0.9683130814813748,3.003214411713956,1.020918264025,1.0216798254835384
1.0105119999999999,1.023543,1.9619999999999997,1.1179999999999999,0.027595779334754947,0.9668351526307759,3.0035449873555757,1.0211345021439997,1.0218982319029066
1.011121,1.0250759999999999,2.0640000000000005,1.1829999999999998,0.030530437424407635,0.9648077960665866,3.0040005657678637,1.0223656766409999,1.0231316958484105
1.010965,1.026797,2.0669999999999997,1.279,0.03227673162329959,0.9633393233408156,3.00438496232874,1.0220502312249997,1.022818824730743
1.0114539999999999,1.028338,2.0330000000000004,1.3439999999999999,0.035234871306677906,0.9614306856651986,3.0048671996986536,1.0230391941159998,1.0238100963377956
1.011992,1.029008,2.073,1.4400000000000002,0.037233230982208446,0.9602938985444147,3.005149643709631,1.024127808064,1.0248997151553025
1.012158,1.029101,2.139,1.5060000000000002,0.03771177720552532,0.9600496369090565,3.0052079904942115,1.0244638169639997,1.0252358635889183
1.0124879999999998,1.03016,2.178,1.5410000000000001,0.039982368253595385,0.9587501229508829,3.0055633740023326,1.0251319501439997,1.025905586541062
1.012683,1.0312189999999999,2.218,1.679,0.04205987390655455,0.9575811189205876,3.0059010837632045,1.025526858489,1.0263020862933256
1.013201,1.032896,2.2210000000000005,1.714,0.045951545123769255,0.9555376300066454,3.0065025755757167,1.026576266401,1.027354017654029
1.0134409999999998,1.034459,2.2600000000000002,1.811,0.049147232587699805,0.9538679294479651,3.007032109991348,1.0270626604809996,1.027842767334134
1.014095,1.036311,2.29,1.939,0.05396870192302279,0.9515492045398395,3.007775046406401,1.028388669025,1.0291715716412775
1.014602,1.0375159999999999,2.357,2.006,0.057422300679964955,0.9499691087141491,3.0082979761711544,1.029417218404,1.0302019427632367
1.015039,1.038567,2.4240000000000004,2.0729999999999995,0.06051665357463852,0.9485991953558628,3.00876601843979,1.030304171521,1.0310904865314334
1.015339,1.039563,2.4909999999999997,2.1079999999999997,0.0632467305001163,0.9474103353123069,3.0091908593465777,1.0309132849209999,1.0317011088283763
1.016033,1.040298,2.558,2.143,0.06647393277576352,0.9460942929125337,3.009637396974667,1.0323230570889999,1.033111995417098
1.016327,1.042244,2.597,2.1789999999999994,0.07125828101114971,0.9440546441562082,3.0104322976179048,1.032920570929,1.0337124636219857
1.017034,1.043692,2.6000000000000005,2.183,0.076093261125379,0.9420895220046593,3.0111838154909676,1.0343581571559999,1.0351522517463398
1.0171789999999998,1.045536,2.6670000000000007,2.2189999999999994,0.08035400225667644,0.9402939103310665,3.0119512831426873,1.0346531180409997,1.0354500211303985
1.0178429999999998,1.04741,2.707,2.286,0.08614119217147509,0.9379992472003187,3.0129146684973644,1.0360043726489996,1.0368041350082045
1.01849,1.048999,2.71,2.3219999999999996,0.09135501794804411,0.9359834218116888,3.013785748007318,1.0373218800999997,1.0381240708995585
1.0188599999999999,1.05032,2.7129999999999996,2.3579999999999997,0.09528477888227829,0.9344667485011346,3.0144759060542823,1.0380756995999998,1.0388799120626493
1.0194759999999998,1.051567,2.716,2.3939999999999992,0.099744712203988,0.9327946466332632,3.015230322852674,1.0393313145759997,1.0401374377863513
1.0198809999999998,1.0522449999999999,2.747,2.3579999999999997,0.10236105762620419,0.9318234339849525,3.015671706309508,1.0401572541609996,1.0409644172056778
1.0198639999999999,1.052906,2.7780000000000005,2.3619999999999997,0.10379705120804598,0.931253970675931,3.015967581231687,1.0401225784959998,1.0409307559476852
1.020649,1.05368,2.809,2.398,0.1076953254712261,0.9298541824637937,3.01659472424641,1.0417243812009997,1.0425337472854093
1.021914,1.0566849999999999,2.8760000000000003,2.4029999999999996,0.11805242496768625,0.9260620955627227,3.0184824174590212,1.044308223396,1.045122212540945
1.022659,1.058053,2.9070000000000005,2.4499999999999997,0.1232989813642808,0.9241909944342196,3.0194365752833114,1.045831430281,1.0466475283949397
1.0230029999999999,1.059045,2.9099999999999997,2.4549999999999996,0.12657548836697866,0.9230148293402928,3.0200678252160897,1.0465351380089998,1.047352767140466
1.0234059999999998,1.060957,2.914,2.523,0.1322120000592659,0.9209886087172282,3.0212096140718954,1.0473598408359996,1.0481804249280136
1.024187,1.061938,2.917,2.496,0.13675538457185568,0.919436158668684,3.0220341766804255,1.048959010969,1.04978111324725
1.025404,1.063989,2.9480000000000004,2.5439999999999996,0.14510025688351405,0.9165746775427812,3.0236350948496535,1.051453363216,1.0522786441356562
1.0260859999999998,1.065223,2.9800000000000004,2.581,0.15004119960889828,0.9149043718456994,3.0246025287473737,1.0528524793959997,1.053679675724962
1.0266849999999998,1.066046,2.983,2.554,0.1537641127777685,0.9136646833397422,3.0253193169233112,1.0540820892249998,1.0549105642450303
1.027321,1.068174,3.014,2.526,0.16068621331483351,0.9112799843333539,3.026815341163598,1.0553884370409998,1.0562202229021271
1.027833,1.069522,3.0450000000000004,2.574,0.16541167673002077,0.9096780601117227,3.027832157421627,1.056440675889,1.0572745624468847
1.028605,1.071682,3.113,2.5789999999999997,0.1729216655182954,0.9071632172648298,3.029475657907277,1.058028246025,1.0588655042083512
1.02945,1.073181,3.1440000000000006,2.5199999999999996,0.17905426150301168,0.9051525242582972,3.030785853432167,1.0597673024999998,1.0606069045274367
1.030494,1.074066,3.148,2.4919999999999995,0.18430883390267247,0.9034904440221605,3.0318306388313605,1.061917884036,1.0627588713920475
1.031479,1.075332,3.151,2.497,0.19025638464423322,0.9015649920268443,3.0331072725133637,1.0639489274410001,1.0647918985065534
1.031728,1.077126,3.192,2.502,0.19518839153059925,0.8998461727768309,3.0343862205211103,1.064462665984,1.0653084520900895
1.032227,1.079143,3.2600000000000002,2.5820000000000003,0.20150392033336173,0.8977301008278529,3.035961527910387,1.065492579529,1.0663415361979334
1.0323719999999998,1.080107,3.3010000000000006,2.5449999999999995,0.20425366561166397,0.8968028963976539,3.0366785128202203,1.0657919463839998,1.066642420478826
1.033699,1.081299,3.3040000000000003,2.5500000000000003,0.21130579458262802,0.8946642888330839,3.0381653397152077,1.0685336226009998,1.069385974888475
1.0340619999999998,1.0830089999999999,3.308,2.5979999999999994,0.21653393443184127,0.8929381031966467,3.0395311700654246,1.0692842198439996,1.0701392701361847
1.0347979999999999,1.084611,3.348,2.711,0.22282548358456733,0.890985045192014,3.041042272880815,1.0708069008039998,1.0716644825685429
1.0357319999999999,1.085811,3.4170000000000003,2.7169999999999996,0.2288781984166047,0.8891977775022991,3.042398991060028,1.0727407758239997,1.0736002562737084
1.036972,1.086958,3.421,2.6889999999999996,0.23582286417984621,0.8871972905745782,3.0439076549508726,1.075310928784,1.076172226022754
1.037718,1.089428,3.4240000000000004,2.6939999999999995,0.24439335082269606,0.8845494502315943,3.046139744613016,1.0768586475239998,1.077723863628677
1.0385469999999999,1.091112,3.428,2.7749999999999995,0.2513528126154095,0.8824792699548207,3.0478749296529934,1.0785798712089998,1.0794477642230804
1.0393729999999999,1.092276,3.4970000000000003,2.8459999999999996,0.2571022372717633,0.8808382752940672,3.049239160528027,1.0802962331289998,1.081165978870068
1.040395,1.093741,3.5290000000000004,2.96,0.26444582032277114,0.8787943402389733,3.050970623542052,1.082421756025,1.083293836399434
1.040921,1.095257,3.532,3.1389999999999993,0.2704541990108186,0.8771344978230906,3.0524693515613652,1.083516528241,1.0843910278172197
1.042269,1.096889,3.5360000000000005,3.2529999999999997,0.2797864842542574,0.8746967199065152,3.054584498497216,1.0863246683609997,1.0872017759946957
1.042786,1.098824,3.642,3.3999999999999995,0.28742934828760763,0.8727235023098906,3.0564631362560415,1.0874026417959999,1.0882828467353893
1.0443559999999998,1.100489,3.674,3.4819999999999998,0.29814267673426204,0.8700931065985366,3.058817508007292,1.0906794547359997,1.0915623291685188
1.045447,1.102466,3.65,3.521,0.308250946205107,0.8676264327171482,3.061166337714484,1.092959429809,1.0938454792129626
1.0464529999999999,1.103473,3.6159999999999997,3.6359999999999997,0.3150123187890139,0.8660013347860833,3.0626748547892775,1.0950638812089997,1.0959515499994001
1.047227,1.105379,3.657,3.7840000000000003,0.3241036884640273,0.8638691391983845,3.064817012829357,1.0966843895289997,1.097575127461824
1.048046,1.107397,3.7259999999999995,3.856,0.33395705794464,0.8616210738906754,3.067119408697521,1.098400418116,1.0992944113122791
1.047918,1.108554,3.7960000000000003,3.895,0.3375446705701908,0.8608269328262113,3.0680471139189818,1.0981321347239998,1.0990279969707977
1.049253,1.10871,3.8,4.0009999999999994,0.34293560963067254,0.8596107059318383,3.0691002878616334,1.100931858009,1.1018279724119289
1.049922,1.111108,3.841,4.182,0.35421061322979525,0.8572089355276449,3.0717043528964383,1.102336206084,1.103236201044007
1.050819,1.11241,3.8820000000000006,4.3309999999999995,0.3624931347106468,0.8554747568028558,3.073513638387905,1.104220570761,1.105122676190905
1.05235,1.114253,3.9229999999999996,4.403,0.37540387679694337,0.8528172623242897,3.076297553427296,1.1074405224999997,1.1083456195562982
1.053003,1.115624,3.927,4.41,0.38325716286470035,0.8512410191392861,3.0780435000502897,1.108815318009,1.109722643735935
1.053713,1.117051,3.9310000000000005,4.417,0.3915471674589052,0.8495807435350579,3.0799014627555814,1.1103110863689998,1.111220734709782
1.0543289999999998,1.11995,3.934999999999999,4.491,0.4053898891631461,0.8468865072767139,3.083114398948351,1.1116096402409996,1.1125240161948222
