Lambda11(-),Lambda22(-),Sigma11(KPa),Sigma22(KPa),Energy_exp,Lambda33(-),I1,I41,I42
1.019338,1.007537,0.5800000000000002,0.5089999999999999,11.409967832999998,0.973690161087118,3.002253294410858,1.0390499582440003,1.0390499582440003
1.020495,1.0075669999999999,0.6460000000000004,0.6609999999999997,12.735209389999998,0.9725572682477356,3.0024689445354973,1.041410045025,1.041410045025
1.022205,1.008199,0.7140000000000002,0.692,14.162737467999998,0.9703216839253943,3.002892455921813,1.0449030620250002,1.0449030620250002
1.023868,1.008804,0.8180000000000002,0.7539999999999999,15.760899707999998,0.9681646794017691,3.0033340382811304,1.048305681424,1.048305681424
1.024748,1.009883,0.8600000000000001,0.7859999999999998,17.435951025999998,0.9662997320577532,3.0037073093678854,1.050108463504,1.050108463504
1.026264,1.010973,0.993,0.9480000000000001,19.413433581999996,0.9638320157838389,3.0042563590749385,1.0532177976960002,1.0532177976960002
1.027279,1.012151,1.0610000000000004,1.081,21.597511831999995,0.9617590491800107,3.0047322593216386,1.0553021438410002,1.0553021438410002
1.028119,1.012958,1.1280000000000001,1.172,23.944416839999995,0.9602076820118162,3.005111380519505,1.057028678161,1.057028678161
1.028804,1.013572,1.2340000000000002,1.2339999999999998,26.464708823999995,0.9589870691673935,3.005422068430267,1.0584376704160001,1.0584376704160001
1.029496,1.014985,1.303,1.206,29.030214021999996,0.9570083176799632,3.0059214843496336,1.059862014016,1.059862014016
1.030153,1.015736,1.3450000000000002,1.2069999999999999,31.641763158999996,0.9556908396010763,3.00627980600241,1.061215203409,1.061215203409
1.030724,1.016782,1.3479999999999999,1.209,34.260468548999995,0.954178797744159,3.006694777764489,1.062391964176,1.062391964176
1.032066,1.017226,1.5179999999999998,1.3009999999999997,37.15055576299999,0.9525221352880465,3.0072073816456992,1.0651602283559998,1.0651602283559998
1.03216,1.01791,1.5600000000000003,1.303,40.08706209299999,0.9517953846546348,3.007409487949864,1.0653542656,1.0653542656
1.032199,1.018442,1.63,1.274,43.06704157099999,0.9512622553232459,3.0075587613676684,1.065434775601,1.065434775601
1.03295,1.018898,1.709,1.3359999999999999,46.19360084899999,0.9501452252842599,3.0079147860344775,1.0669857025,1.0669857025
1.032759,1.019105,1.8150000000000002,1.3379999999999999,49.43162092399999,0.9501279179446548,3.007909213563844,1.0665911520809999,1.0665911520809999
1.033823,1.020271,1.9220000000000006,1.34,52.78579187,0.9480653354682014,3.008570789086433,1.0687899953289999,1.0687899953289999
1.034636,1.020656,1.9549999999999996,1.3419999999999999,56.178225602,0.9469630240943123,3.008949291833845,1.0704716524959998,1.0704716524959998
1.035461,1.022181,1.9879999999999998,1.3739999999999999,59.641198763999995,0.9447968784811934,3.009674620869807,1.0721794825209998,1.0721794825209998
1.036244,1.023824,2.0320000000000005,1.3059999999999998,63.08396071599999,0.9425679430069508,3.0104515376963543,1.0738016275359998,1.0738016275359998
1.037997,1.02461,2.139,1.2069999999999999,66.54094056899999,0.9402542637462411,3.011341504601986,1.077437772009,1.077437772009
1.038586,1.025495,2.246,1.2399999999999998,70.14521852499999,0.9389100521205647,3.011852960394042,1.078660879396,1.078660879396
1.039907,1.0272109999999999,2.318,1.2719999999999998,73.86233534299998,0.9361508521188827,3.01294742509291,1.0814065686489998,1.0814065686489998
1.040319,1.02801,2.39,1.3349999999999997,77.72109110299998,0.9350527898988603,3.0133919017586424,1.082263621761,1.082263621761
1.0412649999999999,1.029075,2.527,1.4689999999999999,81.86407893299997,0.9332364684740445,3.014158461939906,1.0842328002249997,1.0842328002249997
1.042322,1.030254,2.6999999999999997,1.47,86.19282171299997,0.9312231978923694,3.0150351004928906,1.0864351516839998,1.0864351516839998
1.043458,1.031296,2.772,1.4419999999999997,90.57241612099997,0.9292695223616959,3.015917882570334,1.088804597764,1.088804597764
1.045235,1.032243,2.872,1.444,95.06488993299998,0.9268385940976313,3.017071595782874,1.092516205225,1.092516205225
1.046183,1.033154,2.944,1.506,99.70078260899997,0.9251822240357759,3.0178682048767844,1.094498869489,1.094498869489
1.047322,1.034141,3.0440000000000005,1.539,104.48037377599998,0.9232940076213819,3.0188028040745527,1.096883371684,1.096883371684
1.048507,1.035437,3.116,1.51,109.31103145799997,0.9210961899859221,3.019914901224582,1.0993669290490002,1.0993669290490002
1.049323,1.036872,3.188,1.5119999999999998,114.22402364599998,0.9191061264217097,3.02093837433892,1.101078758329,1.101078758329
