Lambda11(-),Lambda22(-),Lambda33(-),Energy,Sigma11(KPa),Sigma22(KPa)
1.074216,1.057693,0.8801339084615899,0.110095024,4.2280583,2.3351827
1.074349,1.058319,0.8795044131494393,0.1126852,4.2396626,2.3532653
1.075913,1.060075,0.8767711528763179,0.1269865,4.323244,2.374796
1.078107,1.060892,0.8743130478549321,0.14239407,4.424858,2.3483462
1.079705,1.061732,0.8723283370756848,0.15449572,4.5013156,2.3376856
1.080623,1.063134,0.8704378862613377,0.164361,4.55437,2.3640194
1.082764,1.063624,0.8683165202950014,0.17890072,4.650796,2.3276525
1.083818,1.06471,0.8665872747853514,0.18881369,4.7068024,2.3398385
1.085394,1.065182,0.8649455419670263,0.2000618,4.779052,2.3171291
1.087257,1.065784,0.8629757488253884,0.21362162,4.8650165,2.2919264
1.0881,1.067397,0.8610040847947794,0.22422934,4.917896,2.3290863
1.089799,1.068587,0.8587044401082324,0.23896742,5.00337,2.329845
1.091479,1.06922,0.8568751377335847,0.25184536,5.082368,2.310862
1.092748,1.070589,0.8547856110251015,0.26471567,5.1517844,2.3296824
1.094171,1.07134,0.8530755204329202,0.27656078,5.22138,2.3219328
1.096342,1.07188,0.8509573239975314,0.29267025,5.321158,2.2875953
1.097198,1.072889,0.8494937736895929,0.30189657,5.3694882,2.304173
1.099223,1.074311,0.8468064757434294,0.3204713,5.4734797,2.3074841
1.100946,1.075679,0.8444059637633452,0.33703423,5.564254,2.3169324
1.101122,1.076024,0.8440003022405325,0.3394928,5.5759487,2.3259017
1.102639,1.077142,0.8419643252513263,0.35392475,5.655347,2.3314683
1.104173,1.077644,0.8404029370154387,0.36628485,5.7284584,2.3127186
1.106037,1.079142,0.8378219783688049,0.38479853,5.8283973,2.3253589
1.107678,1.079491,0.8363102969899973,0.39753246,5.9049196,2.2982414
1.109568,1.081754,0.8331391964375,0.41955137,6.0167108,2.3423
1.11167,1.082942,0.8306516208565374,0.4391079,6.1251936,2.3384974
1.114101,1.084672,0.8275171566698529,0.46341372,6.2562065,2.349674
1.115349,1.086322,0.8253357226274486,0.47912264,6.3341293,2.3879883
1.116363,1.087828,0.8234444994323477,0.4926772,6.4001536,2.4269428
1.117712,1.08885,0.8216787034084124,0.5067735,6.475132,2.4375188
1.119486,1.089274,0.8200572937993924,0.52158976,6.5614424,2.4120772
1.120538,1.090157,0.8186237931533041,0.53309107,6.6217093,2.4245758
1.122494,1.090635,0.8168391430575352,0.5496726,6.717765,2.3974347
1.124989,1.091738,0.8142041225384632,0.57312155,6.8481374,2.3849382
1.125767,1.093328,0.8124581800614246,0.58589697,6.907448,2.4367805
1.126872,1.094399,0.8108671836596757,0.59897566,6.9745765,2.458107
1.128394,1.095319,0.8090933105971442,0.6146579,7.0592012,2.4629185
1.129435,1.095702,0.8080650135147225,0.6243472,7.113575,2.4551756
1.130486,1.096118,0.807007371970511,0.6343007,7.1691008,2.4488232
1.131974,1.097106,0.8052207503576677,0.6502557,7.2543,2.458481
1.13495,1.097729,0.8026535543179681,0.6763053,7.4044976,2.4159293
1.136592,1.098406,0.8009999860994846,0.6923156,7.493282,2.408297
1.1377,1.098908,0.7998543423010361,0.703382,7.5542107,2.4054623
1.139429,1.101043,0.7970920014872874,0.72702837,7.6723776,2.4657762
1.142185,1.102048,0.7944435380380366,0.7570424,7.8368654,2.4751225
1.143768,1.10311,0.7925802325835583,0.7829652,7.9695444,2.5562398
1.145967,1.103455,0.7908120195195104,0.81129885,8.124311,2.5943918
1.146682,1.104031,0.7899065893101928,0.82382345,8.18819,2.6387491
1.148669,1.104851,0.7879549466781648,0.8532748,8.344892,2.7099526
1.150659,1.105622,0.786043696758771,0.8826127,8.50222,2.7793784
1.152704,1.106027,0.7843618656178788,0.91017675,8.654219,2.8249536
1.15461,1.10721,0.7822303925122887,0.9418616,8.821815,2.925974
1.156041,1.109104,0.779927962838213,0.9731679,8.980249,3.0764675
1.157468,1.10936,0.7787866609936076,0.9925666,9.089021,3.109244
1.15826,1.110254,0.777627472213154,1.0089297,9.173519,3.1832411
1.159994,1.110782,0.7760959616897942,1.0343032,9.3145275,3.240716
1.160592,1.111217,0.775392418845815,1.0449729,9.3716345,3.2797494
1.162618,1.111638,0.7737480602254168,1.0733838,9.532339,3.3339534
1.164655,1.112133,0.7720509769535102,1.1026587,9.697994,3.3950992
1.167167,1.113125,0.769702794280004,1.1418948,9.91765,3.5017262
1.167919,1.11461,0.7681823795705138,1.1627822,10.024686,3.6269526
1.17018,1.115486,0.7660960177789449,1.1983752,10.226133,3.7256832
1.17266,1.116477,0.7637972805801981,1.2379279,10.451189,3.8388376
