Lambda11(-),Lambda22(-),Sigma11(KPa),Sigma22(KPa),Energy_exp,Lambda33(-),I1,I41,I42
1.0002,1.0,0.0,0.562,0.0,0.9998000399920016,3.0000001599680077,1.00040004,1.0
1.0,1.0000889999999998,0.10699999999999989,0.601,4.105226696311752e-05,0.9999110079202953,3.000000031681181,1.0,1.0001780079209996
1.000583,1.000381,0.05999999999999972,0.5420000000000001,0.0002565573761789433,0.9990367067057053,3.0000028263953817,1.001166339889,1.000762145161
1.002907,1.002538,0.02099999999999975,0.616,0.001597598826179984,0.9945771892478589,3.000088677465171,1.0058224506489999,1.0050824414439998
1.004568,1.003026,0.06699999999999978,0.528,0.001948772311975723,0.9924496191910257,3.000174269932412,1.0091568666239998,1.006061156676
1.0065799999999998,1.003358,0.10699999999999989,0.5240000000000001,0.0022969224330575736,0.9901381295330404,3.0003040881191874,1.0132032963999995,1.006727276164
1.0074299999999998,1.003857,0.14100000000000007,0.4550000000000001,0.0026449717509286997,0.9888109539034919,3.0003911839085333,1.0149152048999996,1.007728876449
1.008025,1.0040609999999999,0.10800000000000003,0.325,0.0027977274730587643,0.9880265122581267,3.0004492812709573,1.0161144006249998,1.0081384917209997
1.0087439999999999,1.004352,0.10999999999999985,0.26700000000000007,0.0029612220256381864,0.9870362131866,3.000527883581743,1.0175644575359997,1.0087229399039999
1.009318,1.0047,0.20300000000000007,0.23900000000000007,0.003137896334386686,0.9861331975281185,3.000603598391031,1.018722825124,1.00942209
1.0113649999999998,1.005124,0.33299999999999996,0.30100000000000005,0.003794797709123051,0.9837221196395805,3.0008426272691886,1.0228591632249997,1.0102742553759998
1.0124019999999998,1.0053889999999999,0.30899999999999983,0.24200000000000002,0.0041953367360590185,0.9824554728815225,3.000983607119855,1.0249578096039995,1.0108070413209997
1.012972,1.005947,0.2850000000000001,0.053000000000000096,0.004444346992385677,0.9813579819837108,3.0011051283961407,1.026112272784,1.011929366809
1.013879,1.008004,0.3149999999999997,0.05400000000000001,0.004822129531808071,0.978479241920609,3.0014443175265293,1.027950626641,1.0160720640159997
1.0152569999999999,1.008619,0.38199999999999995,0.08600000000000013,0.005338162165705243,0.9765553474158598,3.00171940977651,1.0307467760489997,1.0173122871609999
1.016956,1.008924,0.44899999999999973,0.08799999999999997,0.006059211196009863,0.9746291219822346,3.002029069127861,1.0341995059359999,1.0179276377759998
1.0182939999999998,1.009682,0.45299999999999985,0.029000000000000165,0.0066961321738830265,0.9726177726919457,3.0023657433162407,1.0369226704359995,1.019457741124
1.0189279999999998,1.0102939999999998,0.48299999999999993,0.0,0.006996209213720789,0.9714237774719915,3.0025723910579525,1.0382142691839997,1.0206939664359995
1.020492,1.0117109999999998,0.513,0.03300000000000004,0.007783152586520358,0.9685764905340725,3.0031034876003,1.041403922064,1.0235591475209995
1.020695,1.011985,0.5439999999999998,0.1560000000000001,0.007913863095859612,0.9681216613043717,3.0031914743367363,1.0418182830249998,1.0241136402249997
1.0217159999999998,1.011733,0.611,0.18800000000000003,0.008448410924032285,0.9673951145103296,3.0033605555234533,1.0439035846559996,1.023603663289
1.0225099999999998,1.0125089999999999,0.578,0.281,0.009090024445942943,0.96590306394673,3.0036699041226798,1.0455267000999997,1.0251744750809997
1.023394,1.0130759999999999,0.581,0.3520000000000001,0.009767997299362159,0.9645285929717442,3.003973667672052,1.0473352792359998,1.0263229817759998
1.0242719999999998,1.013772,0.647,0.44399999999999995,0.010567878946641792,0.9630401801101328,3.0043131864745565,1.0491331299839997,1.027733667984
1.0250489999999999,1.015434,0.6879999999999998,0.5070000000000001,0.011852950984369885,0.9607351333731274,3.0048436572544803,1.0507254524009997,1.0311062083559999
1.0260529999999999,1.0163659999999999,0.7299999999999998,0.632,0.013069518879394202,0.9589149224994479,3.005302433357121,1.0527847588089998,1.0329998459559997
1.027642,1.017132,0.7339999999999999,0.6640000000000001,0.014690447260192644,0.9567111521167145,3.0059018141724914,1.056048080164,1.034557505424
1.029134,1.0176299999999998,0.8649999999999999,0.889,0.01623046413588698,0.9548566388162489,3.006438807547464,1.059116789956,1.0355708168999995
1.030171,1.017952,0.9329999999999998,0.952,0.017427099297968453,0.9535937148927657,3.006819536627985,1.061252289241,1.0362262743039998
1.0312089999999998,1.018608,0.9740000000000001,0.923,0.01899132156076572,0.9520203297348258,3.0072969675734056,1.0633920016809997,1.037562257664
1.031918,1.019914,1.016,0.9560000000000001,0.020878992028467026,0.9501480004689669,3.0078605489151755,1.0648547587239998,1.040224567396
1.032382,1.020959,1.1219999999999997,1.05,0.02238670171177648,0.9487488757295678,3.0082943028031184,1.0658125939239997,1.042357279681
1.032768,1.022479,1.2260000000000002,1.2060000000000002,0.024503682967634166,0.9469844112134786,3.0088525223463383,1.0666097418239997,1.0454633054409999
1.03362,1.0231009999999998,1.3680000000000003,1.178,0.02629812813591864,0.9456285739127341,3.0093193604012307,1.0683703044,1.0467356562009997
1.033736,1.024022,1.4099999999999997,1.1500000000000001,0.02750136914149027,0.9446720629017366,3.009636480607022,1.068610117696,1.048621056484
1.033799,1.0243939999999998,1.4790000000000003,1.1830000000000003,0.02801308158003408,0.9442714655735993,3.0097720403335124,1.0687403724009998,1.0493830672359996
1.034061,1.025583,1.6499999999999995,1.2159999999999997,0.029800964884547195,0.9429377606793884,3.010234262125059,1.0692821517209998,1.0518204898889998
1.033628,1.0268849999999998,1.9129999999999998,1.4040000000000001,0.030716846829842086,0.9421367062682277,3.0105012189069438,1.068386842384,1.0544928032249996
1.0341609999999999,1.0272599999999998,2.0479999999999996,1.5000000000000002,0.03226799464642889,0.9413073864146646,3.0108116772398064,1.0694889739209998,1.0552631075999996
1.0347989999999998,1.0281449999999999,2.09,1.533,0.03484994454662657,0.9399172752641566,3.0113355957659955,1.0708089704009995,1.0570821410249998
1.0349599999999999,1.0291769999999998,2.0949999999999998,1.4440000000000002,0.03666881419569736,0.9388287114368142,3.0117468483471086,1.0711422015999998,1.0592052973289996
1.0358859999999999,1.0302779999999998,2.267,1.6019999999999999,0.040247741773086126,0.9369870965065192,3.0124773812997168,1.0730598049959996,1.0614727572839997
1.036311,1.0314919999999999,2.4029999999999996,1.6360000000000001,0.04311212310699826,0.9355005085621882,3.013077436305113,1.073940488721,1.0639757460639998
1.037083,1.031974,2.548,1.7320000000000002,0.04574228350654652,0.9343675108669933,3.0135541309287808,1.0755411488889999,1.064970336676
1.0376949999999998,1.032927,2.6839999999999997,1.8599999999999999,0.048943365428056405,0.9329548916438222,3.0141539301961355,1.0768109130249996,1.0669381873289998
1.038439,1.0353659999999998,2.784,1.9249999999999998,0.05536626923572624,0.9300902900804193,3.015406258378878,1.0783555567209997,1.0719827539559996
1.039637,1.0366909999999998,2.893,2.0540000000000003,0.061183446910695535,0.9278311402595854,3.016443946085402,1.0808450917689998,1.0747282294809997
1.040652,1.037631,3.03,2.0889999999999995,0.06595079819842131,0.9260864686643964,3.0172708247082918,1.0829565851039997,1.076678092161
1.041105,1.038949,3.13,2.155,0.06998489913032571,0.9245092023359667,3.018031910829885,1.0838996210249998,1.0794150246009997
1.042193,1.040568,3.267,2.2510000000000003,0.07675600050145175,0.9221071339612442,3.01922957837522,1.0861662492489998,1.082781762624
1.042684,1.0416249999999998,3.339,2.3170000000000006,0.0806306398088705,0.920737636269533,3.0199303593242064,1.0871899238559999,1.0849826406249996
1.0438759999999998,1.043121,3.411,2.3829999999999996,0.08785943751473549,0.918367272629369,3.0211769714537056,1.0896771033759995,1.088101420641
1.0445179999999998,1.044995,3.418,2.3870000000000005,0.0942396467203657,0.9161569046342201,3.0223758762579545,1.0910178523239997,1.0920145500249998
1.045442,1.0467209999999998,3.49,2.391,0.1012363830485789,0.9138378016004698,3.023673354838979,1.092948975364,1.0956248518409997
1.046598,1.048042,3.5620000000000003,2.426,0.1081708102206035,0.9116778687102617,3.0249159436640847,1.0953673736039997,1.0983920337639999
1.046798,1.0494089999999998,3.6620000000000004,2.4920000000000004,0.11206625550030683,0.9103163253031662,3.0257211141984595,1.0957860528039998,1.1012592492809996
1.0476269999999999,1.050126,3.6969999999999996,2.496,0.11668246422884132,0.9089749313250871,3.026522372782446,1.0975223311289997,1.1027646158759998
1.0490609999999998,1.051518,3.7039999999999997,2.5000000000000004,0.12505331818918658,0.9065307635311336,3.0280171112733396,1.1005289817209996,1.105690104324
1.049901,1.052921,3.7390000000000003,2.536,0.1313894218109698,0.9045984995708038,3.0292331874677494,1.102292109801,1.108642632241
1.050571,1.054857,3.7469999999999994,2.571,0.13846807080095874,0.9023624245202418,3.0306806616760484,1.1036994260409998,1.1127232904489999
1.05222,1.0565589999999998,3.7539999999999996,2.575,0.14849848634979632,0.8994969474433137,3.0325786073408385,1.1071669283999999,1.1163169204809995
1.0533379999999999,1.05862,3.7609999999999997,2.516,0.15744936739395324,0.8967928837255179,3.03443472294473,1.1095209422439998,1.1206763043999999
