Lambda11(-),Lambda22(-),Lambda33(-),Energy,Sigma11(KPa),Sigma22(KPa)
1.0636679999999998,1.0716089999999998,0.8773190379550134,0.09801674,3.9712768,2.8621817
1.0649,1.0731689999999998,0.8750302239048838,0.108823776,4.0278797,2.9353704
1.065748,1.074815,0.8729949971544059,0.118303776,4.073726,3.0053425
1.067397,1.077149,0.8697576144667077,0.13407087,4.154128,3.1149464
1.068493,1.0791,0.8672945675868692,0.14614916,4.2130256,3.202918
1.069095,1.079146,0.8667692512743804,0.14918995,4.2334957,3.216401
1.07029,1.080015,0.8651048463708259,0.15866184,4.289071,3.2450495
1.0722079999999998,1.082027,0.8619515575975689,0.1771431,4.3937182,3.2780023
1.073208,1.0833,0.8601364566027582,0.18771267,4.45106,3.3043709
1.075737,1.085162,0.8566419068622042,0.20981455,4.580988,3.3191023
1.0767909999999998,1.0875439999999998,0.8539289676492144,0.2251935,4.6544228,3.3899245
1.078557,1.088288,0.8519479411805513,0.23890781,4.7392926,3.3791742
1.0804809999999998,1.0904839999999998,0.8487183026375638,0.25938702,4.848952,3.4245148
1.081621,1.0926319999999998,0.8461570432481037,0.27502298,4.924876,3.4874864
1.082844,1.094715,0.8435931345046239,0.29113102,5.004158,3.5472775
1.085616,1.0961919999999998,0.840305364962575,0.31495237,5.1437674,3.5467663
1.0871499999999998,1.097397,0.8381982720420164,0.32989168,5.2264857,3.5637174
1.088475,1.098466,0.836363212858198,0.34302568,5.298622,3.5800467
1.0901459999999998,1.1004889999999998,0.8335461089017633,0.36260366,5.3991704,3.631229
1.091867,1.102839,0.8304589002585065,0.38417625,5.5072803,3.6975937
1.094344,1.104429,0.8273863220636933,0.40783024,5.639396,3.7139688
1.0954039999999998,1.105368,0.8258835003093087,0.41918898,5.6999264,3.7332783
1.096278,1.1071369999999998,0.8239065135237336,0.43305063,5.764361,3.7959046
1.096784,1.108323,0.8226451618401027,0.44186258,5.8042507,3.8403444
1.098774,1.109892,0.8199944343906368,0.46276903,5.91688,3.8703837
1.100333,1.111657,0.8175325534464971,0.48177862,6.0138183,3.9206595
1.102459,1.114169,0.8141163598286716,0.5085025,6.148956,3.9965587
1.1040789999999998,1.115336,0.8120712404911044,0.52555895,6.2412834,4.0188
