Lambda11(-),Lambda22(-),Lambda33(-),Energy,Sigma11(KPa),Sigma22(KPa)
1.0069279999999998,1.012294,0.9810585333385248,0.25845483531745783,0.46413243682938266,0.560214791067601
1.0071789999999998,1.01323,0.9799079880053304,0.2591002622199986,0.48903454174778105,0.5973984843398412
1.00727,1.01365,0.9794134774652834,0.259391764153731,0.49940815039321684,0.6136721572378683
1.0082719999999998,1.014119,0.9779876568804676,0.26020935122343564,0.5437120893333933,0.6486227656481365
1.008457,1.015503,0.9764756195397896,0.26121413901410934,0.5736113923407036,0.7000452930786079
1.008584,1.016535,0.9753614562477012,0.2620046519339542,0.5954535580322258,0.7381581527098646
1.009038,1.019162,0.9724096402570966,0.264285317312748,0.6555874092111456,0.8375029209681504
1.009663,1.019683,0.9713111623272964,0.26513820273655114,0.6868810589745937,0.8671154200063409
1.00932,1.020361,0.9709956185289692,0.26546954383766985,0.6856433673634701,0.8841841986348076
1.0101019999999998,1.021574,0.9690918423931608,0.2670954736683375,0.7339872576586224,0.9405840989390413
1.010405,1.022089,0.9683130814813748,0.2677944215295204,0.7534373165415396,0.9639768876152068
1.010512,1.023543,0.966835152630776,0.2692569329395351,0.7811600761594217,1.016132000701596
1.011121,1.025076,0.9648077960665866,0.2712915465124975,0.8282628548908466,1.08025607322781
1.010965,1.026797,0.9633393233408156,0.2729818469288158,0.8506272820556262,1.1366733865587975
1.011454,1.028338,0.9614306856651986,0.27513156251680365,0.8932996957517396,1.198763673479851
1.011992,1.029008,0.9602938985444148,0.2764029364595258,0.9235855701620821,1.2317470465735916
1.012158,1.029101,0.9600496369090564,0.2766683073531569,0.9310901124820514,1.2380080134793623
1.0124879999999998,1.03016,0.9587501229508828,0.2782538981894377,0.960096351294899,1.2805191234561395
1.012683,1.031219,0.9575811189205876,0.2797556243894447,0.9841754980406794,1.3205243199663812
1.013201,1.032896,0.9555376300066454,0.28244040468385123,1.029772779100247,1.3876919347143382
1.0134409999999998,1.034459,0.9538679294479652,0.28479432770167057,1.0633982724900246,1.445789288146603
1.014095,1.036311,0.9515492045398396,0.2881165243206715,1.1164616715067321,1.5213810566155086
1.014602,1.037516,0.9499691087141492,0.2904599791205219,1.1538527545181774,1.572033275555765
1.015039,1.038567,0.9485991953558628,0.29255821898342527,1.1862292602647813,1.6160986723380546
1.015339,1.039563,0.9474103353123068,0.294458025610019,1.2127528055263248,1.655750582968727
1.016033,1.040298,0.9460942929125336,0.2964809222171936,1.2493539096136148,1.6936675968600232
1.016327,1.042244,0.9440546441562082,0.30002276641332604,1.2904693578466793,1.7657350167416999
1.017034,1.043692,0.9420895220046592,0.30340396674532505,1.3385840537165183,1.8282780866565673
1.0171789999999998,1.045536,0.9402939103310664,0.30681775191594435,1.3725070320307378,1.8940714843449467
1.0178429999999998,1.04741,0.9379992472003188,0.31114216915495585,1.4254875441405161,1.9703644832568905
1.01849,1.048999,0.9359834218116888,0.3150603194145757,1.4733411261734446,2.036569806239811
1.01886,1.05032,0.9344667485011346,0.31815567527528266,1.5070069350795796,2.0885280885026694
1.0194759999999998,1.051567,0.9327946466332632,0.3215600558151514,1.5483465622164685,2.142441186266894
1.0198809999999998,1.052245,0.9318234339849524,0.3235575593242428,1.5733281232239005,2.173030146028628
1.019864,1.052906,0.931253970675931,0.3248710616145934,1.5828232015385684,2.1953280075076336
1.020649,1.05368,0.9298541824637936,0.3277319152499448,1.6229397207005647,2.236135012649358
1.021914,1.056685,0.9260620955627228,0.33625520260078745,1.7142473173041726,2.3619937156710016
1.022659,1.058053,0.9241909944342196,0.34058169543290917,1.7618262123124433,2.4223717202404673
