Lambda11(-),Lambda22(-),Lambda33(-),Energy,Sigma11(KPa),Sigma22(KPa)
1.031479,1.075332,0.9015649920268444,-0.021564007,3.0391207,2.4599986
1.031728,1.077126,0.8998461727768309,-0.01550293,3.0654707,2.5140624
1.032227,1.079143,0.8977301008278529,-0.007919788,3.1042309,2.5766678
1.0323719999999998,1.080107,0.8968028963976539,-0.004415512,3.11733,2.607923
1.033699,1.081299,0.8946642888330839,0.004284382,3.1657057,2.6651359
1.0340619999999998,1.083009,0.8929381031966467,0.011111736,3.1917605,2.7240925
1.034798,1.084611,0.890985045192014,0.019121647,3.227725,2.786409
1.035732,1.085811,0.8891977775022991,0.026686192,3.2659612,2.839931
1.036972,1.086958,0.8871972905745782,0.03537512,3.3129325,2.8974948
1.037718,1.089428,0.8845494502315943,0.046744823,3.3586588,2.991171
1.038547,1.091112,0.8824792699548207,0.055923462,3.399681,3.061654
1.039373,1.092276,0.8808382752940672,0.063381195,3.4358344,3.115439
1.040395,1.093741,0.8787943402389733,0.07281017,3.481225,3.1837063
1.040921,1.095257,0.8771344978230906,0.08048105,3.512539,3.2457347
1.042269,1.096889,0.8746967199065152,0.09213781,3.570466,3.3278012
1.042786,1.098824,0.8727235023098906,0.101558685,3.6066217,3.40652
1.0443559999999998,1.100489,0.8700931065985366,0.11463499,3.6730676,3.4967465
1.045447,1.102466,0.8676264327171482,0.12702894,3.728732,3.5908356
1.046453,1.103473,0.8660013347860833,0.13541031,3.771648,3.648337
1.047227,1.105379,0.8638691391983845,0.14641047,3.8175983,3.736022
1.048046,1.107397,0.8616210738906754,0.15821648,3.866806,3.8303576
1.047918,1.108554,0.8608269328262113,0.1623416,3.8758874,3.8727422
1.049253,1.10871,0.8596107059318383,0.16906834,3.9211216,3.9066582
1.049922,1.111108,0.8572089355276449,0.1820693,3.9710636,4.0158405
1.050819,1.11241,0.8554747568028558,0.19170046,4.0161743,4.08749
1.05235,1.114253,0.8528172623242897,0.20672989,4.089535,4.196174
1.053003,1.115624,0.8512410191392861,0.21573305,4.1283493,4.2674427
1.053713,1.117051,0.8495807435350579,0.22533226,4.1701446,4.3431716
1.0543289999999998,1.11995,0.8468865072767139,0.241086,4.2277217,4.4806323
1.055569,1.121531,0.8446992144883413,0.25421667,4.290919,4.578055
1.056131,1.12299,0.8431528660811209,0.26358318,4.3294973,4.6553564
1.0565099999999998,1.124218,0.8419297453159008,0.27106333,4.358906,4.718832
1.057059,1.126599,0.839714031719937,0.2847786,4.4099245,4.839016
1.058631,1.127702,0.8376470088357676,0.29784584,4.480998,4.928052
1.059061,1.130528,0.8352138770898252,0.3133855,4.535258,5.0695453
1.0603509999999998,1.131914,0.8331763199963452,0.32664156,4.601625,5.167641
1.060774,1.133779,0.8314740983906661,0.33784723,4.643524,5.267374
1.061605,1.134776,0.8300932886659209,0.34703636,4.6885576,5.337142
1.062641,1.136552,0.8279881496904459,0.36120987,4.752966,5.4511156
1.063044,1.138793,0.8260455015378573,0.37449265,4.80105,5.572666
1.0644019999999998,1.139724,0.8243176985040237,0.38640594,4.8665543,5.656376
1.064774,1.141636,0.8226496303903661,0.39808607,4.909626,5.763378
1.065671,1.143673,0.8204931962793633,0.41336155,4.9754214,5.893049
1.0667,1.144823,0.8188782930116697,0.42490768,5.0333877,5.9820943
1.067127,1.146339,0.8174681177965102,0.4351411,5.073907,6.07393
1.068115,1.148532,0.8151525398194519,0.4521184,5.147863,6.2193685
1.069032,1.150869,0.8127994528696223,0.4696517,5.2223163,6.37289
1.0700539999999998,1.152772,0.8106826639970561,0.48562098,5.2948985,6.5081735
